token,rating,date,version,used_count
very,5,2019-11-23,8.2,1
very,5,2019-11-23,,1
very,5,2020-03-29,8.7,5
very,5,2020-09-28,9.0,3
very,5,2020-04-25,8.7,1
very,5,2019-11-13,8.0,2
very,5,2020-03-21,8.2,3
very,5,2020-03-04,8.2,3
very,5,2019-03-01,,1
very,5,2020-03-10,8.2,5
very,5,2020-02-29,,1
very,5,2020-02-29,8.2,2
very,5,2019-08-11,7.7,6
very,5,2019-08-08,7.7,3
very,5,2019-12-07,8.2,5
very,5,2019-12-27,8.2,3
very,5,2019-12-27,,3
very,5,2020-02-16,8.2,3
very,5,2020-07-11,,1
very,5,2020-07-11,,1
very,5,2020-07-11,,1
very,5,2020-07-11,,1
very,5,2020-07-11,8.8,1
very,5,2020-08-30,9.0,3
very,5,2020-09-13,,1
very,5,2020-09-13,9.0,2
very,5,2019-12-03,8.2,2
very,5,2019-02-05,6.7,1
very,5,2019-07-26,7.7,5
very,5,2019-06-15,7.6,2
very,5,2019-06-15,,1
very,5,2020-02-10,8.2,2
very,5,2020-02-13,8.2,3
very,5,2019-12-09,8.2,10
very,5,2020-04-03,8.7,4
very,5,2020-04-03,,1
very,5,2020-09-07,,1
very,5,2020-09-07,9.0,1
very,5,2019-08-10,,1
very,5,2019-08-10,7.7,1
very,5,2019-10-23,8.0,3
very,5,2019-03-14,6.9,2
very,5,2019-08-09,7.7,4
very,5,2020-03-17,8.2,5
very,5,2019-10-26,8.0,1
very,5,2020-06-04,8.8,1
very,5,2020-05-02,8.8,3
very,5,2020-02-27,,1
very,5,2020-09-11,9.0,3
very,5,2019-12-22,8.2,3
very,5,2020-07-23,,1
very,5,2020-07-23,8.8,1
very,5,2020-05-21,8.8,1
very,5,2019-12-02,8.0,1
very,5,2019-12-02,8.2,1
very,5,2018-12-03,,4
very,5,2019-10-20,8.0,1
very,5,2019-01-10,6.7,1
very,5,2020-01-01,8.2,1
very,5,2018-12-30,6.6,1
very,5,2020-08-15,8.8,1
very,5,2020-06-05,8.8,2
very,5,2020-06-05,,1
very,5,2020-06-05,,1
very,5,2020-02-11,,1
very,5,2020-02-11,8.2,2
very,5,2019-10-12,8.0,1
very,5,2019-04-11,7.02,2
very,5,2019-05-16,7.5,5
very,5,2019-10-31,8.0,4
very,5,2019-11-27,8.2,3
very,5,2020-08-29,9.0,1
very,5,2020-08-29,,1
very,5,2020-08-29,,1
very,5,2020-05-16,8.8,2
very,5,2020-02-14,,1
very,5,2020-02-14,,1
very,5,2019-12-10,8.2,2
very,5,2020-03-07,8.2,3
very,5,2020-08-26,,1
very,5,2020-08-26,8.8,2
very,5,2020-08-26,,1
very,5,2020-03-20,,1
very,5,2020-03-20,,1
very,5,2020-03-20,8.2,5
very,5,2020-07-05,8.8,4
very,5,2020-08-14,8.8,5
very,5,2020-08-01,8.8,2
very,5,2019-10-29,,1
very,5,2019-10-30,8.0,2
very,5,2020-10-03,8.8,1
very,5,2019-10-21,,1
very,5,2019-10-21,8.0,1
very,5,2020-07-19,8.8,1
very,5,2020-05-23,,1
very,5,2020-05-23,8.8,1
very,5,2019-09-27,7.91,4
very,5,2020-07-22,,1
very,5,2020-07-22,,1
very,5,2020-07-22,8.8,4
very,5,2020-03-06,,1
very,5,2020-03-06,8.2,1
very,5,2019-11-22,8.0,1
very,5,2020-08-18,,1
very,5,2020-08-18,8.8,3
very,5,2020-08-18,,1
very,5,2020-01-31,8.2,6
very,5,2019-12-31,,1
very,5,2019-12-31,,1
very,5,2019-10-27,8.0,3
very,5,2020-07-15,8.8,1
very,5,2019-03-25,,1
very,5,2019-03-25,7.02,1
very,5,2019-08-28,7.7,1
very,5,2019-06-13,6.8,1
very,5,2019-06-13,7.6,1
very,5,2019-09-30,7.91,4
very,5,2019-10-22,,1
very,5,2020-04-08,,2
very,5,2020-04-08,8.7,1
very,5,2019-08-15,7.7,5
very,5,2020-03-28,8.7,6
very,5,2020-03-28,,2
very,5,2020-04-19,8.7,3
very,5,2019-09-11,7.91,1
very,5,2019-11-03,8.0,2
very,5,2020-05-15,8.8,3
very,5,2019-11-10,,1
very,5,2020-02-25,8.2,1
very,5,2020-02-25,,1
very,5,2020-01-21,8.2,1
very,5,2020-01-21,,1
very,5,2019-12-11,8.2,3
very,5,2019-12-11,,1
very,5,2019-09-29,,1
very,5,2019-09-29,7.91,2
very,5,2019-06-21,7.6,3
very,5,2020-04-22,8.7,1
very,5,2019-10-08,8.0,1
very,5,2020-07-28,8.8,3
very,5,2020-08-05,8.8,1
very,5,2019-11-04,8.0,2
very,5,2019-12-18,7.4,1
very,5,2019-12-18,8.2,3
very,5,2019-11-12,8.0,3
very,5,2019-08-05,7.7,1
very,5,2020-02-02,8.2,1
very,5,2019-08-21,7.7,2
very,5,2019-08-21,,1
very,5,2020-05-26,,1
very,5,2020-10-27,,1
very,5,2020-10-27,8.8,1
very,5,2019-09-09,7.7,2
very,5,2020-01-16,8.2,1
very,5,2020-10-01,,1
very,5,2019-05-03,7.4,2
very,5,2019-05-03,,1
very,5,2019-11-25,8.2,1
very,5,2019-09-20,7.91,1
very,5,2019-11-15,8.0,1
very,5,2019-02-08,6.8,1
very,5,2019-11-16,8.0,1
very,5,2019-04-30,7.4,1
very,5,2020-09-25,,1
very,5,2020-09-25,9.0,1
very,5,2020-05-07,,1
very,5,2020-05-07,8.8,2
very,5,2020-01-24,8.2,2
very,5,2020-08-25,9.0,1
very,5,2019-10-10,8.0,4
very,5,2019-10-10,,1
very,5,2019-10-18,8.0,2
very,5,2020-04-26,8.7,3
very,5,2020-05-01,8.8,2
very,5,2020-05-04,6.9,1
very,5,2020-05-04,8.7,1
very,5,2020-05-04,,1
very,5,2020-05-08,8.8,1
very,5,2019-08-06,7.7,4
very,5,2020-02-20,8.2,1
very,5,2020-02-20,,1
very,5,2020-02-04,,1
very,5,2020-02-04,8.2,1
very,5,2020-03-08,,1
very,5,2020-03-08,8.2,1
very,5,2020-06-10,8.8,3
very,5,2019-05-18,7.5,2
very,5,2020-04-14,,1
very,5,2020-04-14,,1
very,5,2020-01-25,,1
very,5,2020-04-12,8.7,1
very,5,2020-04-12,,1
very,5,2020-02-23,8.2,1
very,5,2019-08-14,7.7,1
very,5,2019-10-19,8.0,3
very,5,2020-02-24,8.2,3
very,5,2020-07-10,8.8,3
very,5,2019-12-21,8.2,1
very,5,2019-11-01,8.0,3
very,5,2019-11-01,,1
very,5,2019-04-27,7.4,2
very,5,2019-04-27,,1
very,5,2019-04-27,,1
very,5,2019-07-25,7.7,1
very,5,2019-08-29,,1
very,5,2020-06-03,8.8,2
very,5,2020-05-25,,1
very,5,2019-06-29,7.7,1
very,5,2019-01-31,6.8,1
very,5,2019-01-31,6.7,1
very,5,2019-04-24,7.4,5
very,5,2020-01-23,8.2,1
very,5,2019-11-11,,1
very,5,2019-11-11,8.0,1
very,5,2019-03-16,7.02,2
very,5,2019-10-13,,1
very,5,2020-05-30,,1
very,5,2020-05-30,8.8,2
very,5,2019-06-10,7.5,2
very,5,2019-06-10,7.6,1
very,5,2019-07-12,7.7,1
very,5,2019-04-20,7.4,2
very,5,2019-12-13,8.2,3
very,5,2020-02-15,8.2,3
very,5,2019-07-03,7.6,1
very,5,2019-01-14,6.7,1
very,5,2019-09-13,7.91,2
very,5,2019-12-26,8.2,2
very,5,2019-12-26,,1
very,5,2020-01-11,8.2,1
very,5,2020-01-11,,1
very,5,2019-11-26,8.2,1
very,5,2019-05-14,,2
very,5,2020-03-19,8.2,1
very,5,2019-01-30,,1
very,5,2019-01-30,6.8,1
very,5,2019-01-11,6.7,1
very,5,2019-12-24,8.2,1
very,5,2019-12-28,8.2,2
very,5,2019-12-28,8.0,1
very,5,2019-01-18,6.7,1
